ts,rss_mb,avail_mb,total_mb,mps_alloc_mb,mps_reserved_mb
1756712782.065814,56616.2,63972.1,262144.0,88817.0,0.0
1756712782.270940,56648.8,63934.2,262144.0,88825.2,0.0
1756712782.474219,56653.1,63934.2,262144.0,88821.5,0.0
1756712782.679362,56651.3,63828.1,262144.0,88834.9,0.0
1756712782.884473,56700.1,63787.5,262144.0,88821.6,0.0
1756712783.088370,56744.5,63787.5,262144.0,88828.6,0.0
1756712783.293081,56799.0,63787.5,262144.0,88833.4,0.0
1756712783.494567,56846.8,63787.5,262144.0,88818.9,0.0
1756712783.697689,56901.2,63555.8,262144.0,88821.5,0.0
1756712783.900554,56946.6,63554.8,262144.0,88831.1,0.0
1756712784.105839,56999.0,63554.8,262144.0,88821.2,0.0
1756712784.310026,57046.4,63554.8,262144.0,88820.0,0.0
1756712784.514446,57059.2,63554.8,262144.0,88827.6,0.0
1756712784.718791,57002.0,63315.6,262144.0,88822.2,0.0
1756712784.923179,56952.5,63265.0,262144.0,88821.1,0.0
1756712785.126811,56879.1,63201.1,262144.0,88826.1,0.0
1756712785.332441,56797.6,63137.3,262144.0,88828.6,0.0
1756712785.538753,56739.5,63079.4,262144.0,88816.5,0.0
1756712785.741654,56673.8,63023.4,262144.0,88821.6,0.0
1756712785.950134,56648.1,63155.8,262144.0,88815.0,0.0
1756712786.155233,56600.6,63156.9,262144.0,88812.5,0.0
1756712786.360219,56584.4,63156.9,262144.0,88817.0,0.0
1756712786.564441,56627.2,63156.9,262144.0,88822.1,0.0
1756712786.768684,56672.7,66209.0,262144.0,88823.6,0.0
1756712786.973360,56718.1,67047.3,262144.0,88829.1,0.0
1756712787.178469,56763.5,67862.2,262144.0,88835.8,0.0
1756712787.383602,56809.3,67862.2,262144.0,88826.6,0.0
1756712787.588025,56836.6,67862.2,262144.0,88829.6,0.0
1756712787.792064,56839.0,72599.6,262144.0,88829.6,0.0
1756712787.994440,56745.1,73557.2,262144.0,88829.6,0.0
1756712788.198251,56532.7,73833.2,262144.0,88829.6,0.0
1756712788.402097,53383.9,74794.1,262144.0,88829.6,0.0
1756712788.605605,46365.0,74794.1,262144.0,88829.6,0.0
1756712788.807358,43619.0,84106.0,262144.0,88829.6,0.0
1756712789.011689,41393.8,88968.2,262144.0,88829.6,0.0
1756712789.216994,36570.2,91411.9,262144.0,88829.6,0.0
1756712789.421297,36054.2,91762.3,262144.0,88829.6,0.0
1756712789.622615,36054.2,93737.0,262144.0,88829.6,0.0
1756712789.824156,36054.2,93726.8,262144.0,88829.6,0.0
1756712790.025620,36054.2,93662.9,262144.0,88829.6,0.0
1756712790.226725,36054.2,93662.9,262144.0,88829.6,0.0
1756712790.429338,36054.2,93662.9,262144.0,88829.6,0.0
1756712790.630949,36054.2,93662.9,262144.0,88829.6,0.0
1756712790.832084,36054.1,93777.8,262144.0,88833.6,0.0
1756712791.090420,36058.9,89373.0,262144.0,86309.5,0.0
1756712791.306051,36058.9,89366.2,262144.0,86309.5,0.0
1756712791.633010,36058.9,89280.3,262144.0,86309.5,0.0
1756712791.853171,36058.9,89284.0,262144.0,86309.5,0.0
1756712792.060438,36059.0,89190.5,262144.0,86309.5,0.0
1756712792.265752,36059.0,89191.4,262144.0,86309.5,0.0
1756712792.470172,36059.0,89172.0,262144.0,86309.5,0.0
1756712792.709182,36059.0,89172.0,262144.0,86309.5,0.0
1756712792.929829,36059.0,89040.4,262144.0,86309.5,0.0
1756712794.220735,36061.4,87447.6,262144.0,86309.5,0.0
1756712801.664566,37311.6,76999.1,262144.0,88810.0,0.0
1756712801.879130,37311.6,81209.2,262144.0,88810.0,0.0
1756712802.084412,37972.6,84526.3,262144.0,88810.0,0.0
1756712802.320136,37311.6,91360.7,262144.0,88810.0,0.0
1756712802.608796,38561.6,91360.7,262144.0,88810.0,0.0
1756712802.809372,38561.6,91309.5,262144.0,88810.0,0.0
1756712803.014606,38561.7,92085.9,262144.0,88810.0,0.0
1756712803.218840,38561.7,92090.3,262144.0,88810.0,0.0
1756712803.420987,38561.7,92193.8,262144.0,88810.0,0.0
1756712803.625665,38561.7,93068.5,262144.0,88810.0,0.0
1756712803.829255,38561.7,93054.7,262144.0,88810.0,0.0
1756712804.033209,38561.7,93053.3,262144.0,88810.0,0.0
1756712804.238296,38561.7,92571.5,262144.0,88810.0,0.0
1756712804.440968,38561.7,92620.0,262144.0,88810.0,0.0
1756712804.645222,38561.7,92634.0,262144.0,88810.0,0.0
1756712804.847685,38975.7,94702.1,262144.0,88810.0,0.0
